,region,unit_id,title,movieid,tweet_count,reason,senti_class,senti_percentage
572,South East,41421,Fighting With My Family,134,54,only big uk (percentage),positive (Percentage),65.06024096385542
573,North East,41422,Little Women,30,16,only big uk (percentage),positive (Percentage),76.19047619047619
574,East Midlands,41423,Last Christmas,37,26,only big uk (percentage),positive (Percentage),68.42105263157895
575,Wales,41424,Last Christmas,37,18,only big uk (percentage),positive (Percentage),66.66666666666666
576,East,41425,Little Women,30,17,only big uk (percentage),positive (Percentage),68.0
577,West Midlands,41426,Fighting With My Family,134,40,only big uk (percentage),positive (Percentage),71.42857142857143
578,South West,41427,Last Christmas,37,25,only big uk (percentage),positive (Percentage),67.56756756756756
579,London,41428,Fighting With My Family,134,85,only big uk (percentage),positive (Percentage),66.40625
580,Scotland,41429,Last Christmas,37,27,only big uk (percentage),positive (Percentage),77.14285714285715
581,Yorkshire and the Humber,41430,Fighting With My Family,134,53,only big uk (percentage),positive (Percentage),79.1044776119403
582,North West,41431,Little Women,30,32,only big uk (percentage),positive (Percentage),72.72727272727273
583,South East,41421,Cats,32,39,only big uk (percentage),negative,
584,North East,41422,Downton Abbey,1,5,only big uk (percentage),negative,
585,East Midlands,41423,Cats,32,11,only big uk (percentage),negative,
586,Wales,41424,Rocketman,117,11,only big uk (percentage),negative,
587,East,41425,Cats,32,22,only big uk (percentage),negative,
588,West Midlands,41426,Cats,32,14,only big uk (percentage),negative,
589,South West,41427,Cats,32,20,only big uk (percentage),negative,
590,London,41428,Cats,32,66,only big uk (percentage),negative,
591,Scotland,41429,Cats,32,16,only big uk (percentage),negative,
592,Yorkshire and the Humber,41430,Cats,32,16,only big uk (percentage),negative,
593,North West,41431,Cats,32,35,only big uk (percentage),negative,
594,South East,41421,Cats,32,39,only big uk (percentage),negative (Percentage),27.083333333333332
595,North East,41422,Little Women,30,2,only big uk (percentage),negative (Percentage),9.523809523809524
596,East Midlands,41423,Cats,32,11,only big uk (percentage),negative (Percentage),16.176470588235293
597,Wales,41424,Cats,32,10,only big uk (percentage),negative (Percentage),18.867924528301888
598,East,41425,Cats,32,22,only big uk (percentage),negative (Percentage),23.404255319148938
599,West Midlands,41426,Cats,32,14,only big uk (percentage),negative (Percentage),20.8955223880597
600,South West,41427,Cats,32,20,only big uk (percentage),negative (Percentage),28.985507246376812
601,London,41428,Cats,32,66,only big uk (percentage),negative (Percentage),18.96551724137931
602,Scotland,41429,Little Women,30,7,only big uk (percentage),negative (Percentage),21.21212121212121
603,Yorkshire and the Humber,41430,Cats,32,16,only big uk (percentage),negative (Percentage),28.07017543859649
604,North West,41431,Cats,32,35,only big uk (percentage),negative (Percentage),19.774011299435028
